id,store_id,image_url,is_main
1309,64,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTEwMTFfMjY5%2FMDAxNjMzOTU3Mzg3NDYx.3Fsnffar5i760n3w7yTyaM62O4hMD23gEm8C33PB7n0g.Qp4IZQhPrWpR2EP7AMwUgib9gnZ4p9uxC_g39E4wEfwg.JPEG.qwas0729%2FIMG_4949.jpg&type=l340_165,True
1310,65,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNjA0MjNfMjgw%2FMDAxNzc2OTAzNzUzNzk1.sdfrW5ySeJD00HUZqKChVJ6w3RSCUsI1aCFoQevUC_Yg.zuHEeKXysCco6BKP45-sGnZKlUaGNOjk_8K9z2sJdpkg.JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5_%25285%2529.jpg&type=a340,True
1311,66,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA5MjFfNCAg%2FMDAxNzI2OTAzMDEwODc2.dQMpHWOaddN9QyFMf0-XYdSqykhrGhtVf_j_d3FHQMQg.DGqrinL-lkFe6K3x_OxcR1yNG9hf_diuf7Fe86yH5S4g.JPEG%2FSnapinsta.app_441192495_18051849604721909_4491529907321389823_n_1080.jpg&type=a340,True
1312,67,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDAyMTlfMzAg%2FMDAxNzA4MzE3MTc3NzQx.TAO2QDK1j3vKtD_0ndOSn1E2dzqQ5qahBkzAwz0VnWQg.wKyALhMu9LEPoEEM9VnHcXlILI6cc1IcilEXaRctzTUg.JPEG.dlsduddl100%2FIMG_4143.jpg&type=a340,True
1313,68,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTExMDVfMTQx%2FMDAxNTcyOTY0MjgyNTIx.Up6o-jNEN0suxrU0nooRDUonMeLapXvhD7n0RsjoAoog.5o2DCrIxB6l5bZ1C2j2pV5h6EpM6rOB-psk6JwgNaocg.JPEG.1share100%2FKakaoTalk_20191019_124302881_01.jpg&type=f54_54,True
1314,69,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fst2.depositphotos.com%2F2435561%2F5258%2Fi%2F950%2Fdepositphotos_52582313-stock-photo-dark-alley-at-night-in.jpg&type=f54_54,True
1315,70,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTExMTNfMjg0%2FMDAxNzYzMDE3MDk2MTM0.7wIEuCvZN31cP1rS9UiotfcuG5QHvGKsl3MK5iMNaXsg.QdmSgfMmN_G4tgShu55yKFmBazaz-izia609x8wqTpog.JPEG%2FKakaoTalk_20251113_155506789_07.jpg&type=a340,True
1316,71,https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F014%2F2024%2F04%2F12%2F0005170519_001_20240412143901779.jpg&type=f54_54,True
1317,72,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMjdfMjQ1%2FMDAxNjc5ODg3MjQ0NDA5.MW9Yt30sTSB_SBrjLxn7X5LQRgO78W0yiV7dBh0R1csg.usgwf2iMcR7BnhQMqgO-3MD2Qwb-88NHNRoU5Rpue40g.JPEG.ovantgarde%2F%25BF%25C0%25B9%25E6%25B0%25A1%25B8%25A3%25B5%25E5_%25B9%25AB%25B4%25EB.jpg&type=f54_54,True
1318,73,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250901_218%2F17567008332008BoF3_JPEG%2F250813_%25BB%25FD%25C7%25F9_%25B1%25B9%25B8%25B3%25BA%25CE%25B0%25E6%25B4%25EB_%25B1%25DD%25BE%25D7%25BA%25B8%25B5%25E5_480x840.jpg&type=a340,True
1319,74,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220110_59%2F1641824241684Gb95o_JPEG%2F1641823740891-4.jpg&type=a340,True
1320,75,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA0MjJfMiAg%2FMDAxNjgyMDkxMDkxNDY1.FnM0dwefbxdv2Rj_C98aJ0uvcjHH1KP3jEYUrOiZIacg.fvo_3d60PC4lWMQUAgEpbgjwGP8jiCzK_IzbVCJexKQg.JPEG.574826%2F20230421%25A3%25DF165728.jpg&type=a340,True
