id,name,category,distance,detail_url
772,미분당 대연점,맛집,428.0,
773,맘스터치 대연점,양식,,
774,피자스쿨 부산남천역점,피자,,
775,달인국밥,한식,,
776,APP 앱피자,피자,,
777,맛찬들왕소금구이 대연점,한식,,
778,소플러스 이기대점,한식,,
779,애기김밥 남천점,분식,,
780,청년피자 용호감만점,피자,,
781,송원일식,일식,,
782,이가네명인갈비살 부산대연점,한식,,
783,유가네닭갈비 부산남천점,고기,,
784,카페위드,카페,475.0,
785,숯불에닭 부산대연점,고기,,
786,신밀양돼지국밥,한식,,
787,브루싱커피,카페,680.0,
788,라코모,카페,648.0,
789,찜하닭,고기,528.0,
790,주월포차 대연동 본점,중식,,
791,동백,맛집,467.0,
792,쭈꾸밍 대연점,한식,,
793,쿠우쿠우 부산경성대점,맛집,,
794,대영면옥,한식,553.0,
795,대연대패,고기,506.0,
796,스시하율,일식,,
797,봉이집,일식,,
798,천수양분식,분식,,
799,그집오뎅,맛집,496.0,
800,신호등분식,분식,,
801,이우철한방누룽삼계탕 대연점,고기,734.0,
802,크리스피아웃사이드,양식,,
803,김복남맥주 부산대연점,양식,,
804,못골갈비,한식,,
805,빕스 부산W스퀘어점,양식,,
806,구구닭촌경성대점,치킨,,
807,왕언니돼지국밥,한식,,
808,지지고 경성부경대점,맛집,368.0,
809,다온스시&amp;덮밥,일식,,
810,카페인설탕숲,카페,,
811,공차 경성대점,카페,583.0,
812,송정동핫도그 남구청점,분식,,
813,민영활어공장 대연못골시장점,일식,,
814,남천전집,한식,,
815,키위,맛집,441.0,
816,1953형제돼지국밥 본점,한식,,
817,길목화로,한식,,
818,1잔,카페,369.0,
819,고기가득통돼지김치찌개,한식,,
820,스시하루,일식,,
821,미녀,맛집,534.0,
822,굽네치킨 대연동점,치킨,,
823,샌딜리버블 남구점,햄버거,,
824,야키토리장인,일식,,
825,카페파라다이스,카페,236.0,
826,바로손만두,한식,,
827,혁이네초밥집,해산물,,
828,앙시앙,카페,,
829,카페16온스 부경대점,카페,382.0,
830,송하돼지국밥,한식,,
831,정직유부 본점,일식,372.0,
832,뉴러우멘관즈,중식,,
833,푸라닭 부산대연점,치킨,,
834,도리신닭도리탕 대연점,한식,,
835,유동커피 부경대점,카페,291.0,
836,미효공방 경성대점,맛집,451.0,
837,옥탑방두얼간이 대연점,치킨,,
838,청도치킨,치킨,,
839,하나돈가스,일식,,
840,정원양곱창,고기,,
841,이층집 564-9,양식,681.0,
842,돈오락쪽갈비 대연점,한식,,
843,푸라닭 부산용호점,치킨,,
844,부버거,햄버거,,
845,시멘트136,카페,,
846,히로 광안리,일식,,
847,노모어피자 경성부경대점,피자,,
848,차이풍,중식,,
849,이기대돼지국밥,한식,,
850,기장첫냉면 광안리본점,한식,,
851,피자에땅,피자,,
852,부산연경 대연점,중식,,
853,맘스터치 신부경대점,맛집,305.0,
854,맘스터치 동명대점,양식,,
855,간빠맥주,일식,,
856,걸,맛집,518.0,
857,등촌샤브칼국수 대연점,한식,,
858,포비베이크샵,카페,698.0,
859,프레드피자 대연점,피자,,
860,놀라버린파닭,치킨,,
861,원카츠 남천점,일식,,
862,야무진한끼,분식,,
863,CAFEIN 설탕숲,카페,431.0,
864,달콤한시간,카페,679.0,
865,칸티푸르 레스토랑,맛집,504.0,
866,PUSIL 광안리,양식,,
867,수반점,중식,,
868,"굽네치킨 대연1,4동점",치킨,,
869,스시마츠,일식,,
870,벤베커 부산광안리점,카페,,
871,여담,일식,,
872,명랑핫도그 경성대1호점,분식,,
873,조선칼국수,한식,,
874,아슬케밥,양식,,
875,별다른 돈까스,양식,,
876,근사한중화요리 중찬 경성대본점,중식,,
877,이모네포차,맛집,454.0,
878,돈카츠유마,일식,,
879,하대승담양갈비 대연점,고기,588.0,
880,철인7호,치킨,,
881,on the yard,피자,,
882,별다른돈까스,양식,452.0,
883,미슐당 대연본점,맛집,,
884,브뤼트피자 대연못골점,피자,,
885,파리바게뜨 경성대점,카페,,
886,궁순 순두부,한식,,
887,광안리 언양불고기원조집,한식,,
888,떡 뽑는 집 범앗간 대연본점,분식,,
889,찹쌀로 만든 조시치킨 부산 경성대점,치킨,,
890,남포육개장,한식,,
891,츄러스1500 경성대부경대점,카페,623.0,
892,구드미엘,일식,,
893,BBQ치킨 부산대연파크점,치킨,,
894,대연동강남,한식,,
895,나야한식당,한식,306.0,
896,공원칼국수,한식,,
897,겐쇼심야라멘 경성대점,일식,,
898,윤키친,양식,,
899,해금횟집,해산물,,
900,웨이양,한식,,
901,구공해락 족발구이,한식,,
902,롯데리아 부산경성대점,햄버거,,
903,장수녹차숯불갈비,한식,,
904,플렌터,양식,,
905,자금성,중식,,
906,해쉬,양식,,
907,코헨,카페,510.0,
908,리틀베어베이크샵,카페,,
909,그라찌에 부경대학교행복기숙사점,카페,,
910,라쿠다,일식,450.0,
911,남천각,중식,,
912,오츠,일식,331.0,
913,꿈꾸는황소,한식,,
914,Poke all day 포케&샐러드 경성대부경대점,양식,,
915,온정돼지국밥 남구직영점,한식,,
916,세영식품,맛집,313.0,
917,언양닭칼국수 경성대부경대점,한식,,
918,카페감,카페,624.0,
919,태봉곱창 부경대본점,고기,368.0,
920,샤브온담,한식,,
921,황해도,한식,,
922,광안리남매,양식,,
923,톤톤,일식,,
924,폴바셋 부산대연DT점,카페,541.0,
925,백소정 경성대부경대점,일식,450.0,
926,경성 즉석떡볶이,분식,,
927,건강한재단,맛집,327.0,
928,모리하루,일식,,
929,애니핑거,카페,565.0,
930,대패마켙 부산대연점,한식,,
931,스타벅스 경성대점,카페,659.0,
932,담꾹 대연혁신점,한식,,
933,톤톤야끼,일식,,
934,회뜰기세,일식,,
935,한양왕족발,한식,,
936,할리스 부산경성대점,카페,593.0,
937,노마진두마리치킨 대연점,치킨,,
938,서가네왕돼지국밥&돼지불백,고기,486.0,
939,암튼커피스탠드,양식,,
940,처갓집양념치킨 남천점,치킨,,
941,바로튀김,햄버거,,
942,대연통닭,치킨,,
943,이삭토스트 부경대점,분식,,
944,BHC치킨 대연못골점,치킨,,
945,카페그리다,카페,639.0,
946,라멘&가정식 하루키야,일식,,
947,소소떡볶이 부산직영점,분식,,
948,쿠로야 경성대본점,일식,,
949,빵빵한슈퍼삼겹살 부산대연점,고기,483.0,
950,엘브리또,양식,283.0,
951,피나치공 대연점,피자,,
