name,category,star_rating,visitor_reviews,blog_reviews,address
18번완당,음식점,4.48,"1,495",0,부산 수영구 남천동로9번길 28
스시하율,음식점,별점 없음,29,0,부산 수영구 광남로 12 1층
모리하루,음식점,별점 없음,989,0,부산 남구 수영로219번길 25
먹부심,음식점,별점 없음,94,0,부산 남구 수영로219번길 30 1층
탱크돈까스,음식점,별점 없음,367,0,부산 남구 수영로219번길 56 1층
삼국 남천본점,음식점,별점 없음,36,0,부산 수영구 광남로22번길 14 1층 삼국
다이도코로 광안리본점,음식점,4.76,1,0,부산 수영구 남천동로108번길 27 2층 다이도코로
동화집,음식점,4.83,"6,889",0,부산 수영구 남천바다로10번길 70 103호
타코비 대연점,음식점,별점 없음,92,0,부산 남구 유엔평화로14번길 58
민영활어공장 대연못골시장점,음식점,별점 없음,29,0,부산 남구 못골로 53 1층
카츠백 남구대연점,음식점,별점 없음,7,0,부산 남구 천제등로 59-14 1층 1호
Ocean View 샤브애진심,음식점,별점 없음,"2,880",0,부산 남구 분포로 66-17 3층
히로 광안리,음식점,4.88,"1,917",0,부산 수영구 남천바다로10번길 48-5 HIRO
원카츠 남천점,음식점,별점 없음,"1,038",0,부산 수영구 남천동로108번길 10 1층
MOZART 수제함박스테이크&돈까스,음식점,별점 없음,81,0,부산 남구 유엔평화로76번길 26
무궁화,음식점,별점 없음,"2,026",0,부산 수영구 황령산로8번길 5
다케다야,음식점,4.51,"2,242",0,부산 수영구 남천동로108번길 31 2층
라멘&가정식 하루키야,음식점,별점 없음,2,0,부산 남구 못골로53번길 8
남송,음식점,별점 없음,5,0,부산 수영구 남천동로9번길 66 1층
하나돈가스,음식점,별점 없음,119,0,부산 남구 수영로196번길 57
카레담따,음식점,별점 없음,1,0,부산 남구 못골로53번길 8
카츠미치,음식점,4.9,965,0,부산 수영구 남천동로108번길 43 1층
스시마츠,음식점,별점 없음,318,0,부산 수영구 광남로 54 1층
두남자이야기,음식점,별점 없음,51,0,부산 남구 동명로145번길 92
샤브20 부산광안리점,음식점,별점 없음,"3,212",0,부산 수영구 광안해변로 127
옥돈까츠,음식점,별점 없음,0,0,부산 남구 못골로12번길 59
신센 본점,음식점,별점 없음,"1,192",0,부산 수영구 남천동로108번길 49 협진태양상가 106호
초힛사츠,음식점,4.86,"5,697",0,부산 수영구 광남로 74 1층 초힛사츠
광안리 달팽이,음식점,4.34,169,0,부산 수영구 광안해변로 122 삼익비치아파트B상가
동경밥상 본점,음식점,별점 없음,"3,077",0,부산 수영구 남천바다로 34-6 1층
야키토리장인,음식점,별점 없음,46,0,부산 수영구 남천동로108번길 46 1층
만타스시31 용호점,음식점,4.03,119,0,부산 남구 용호로42번길 148 1층 일부호(용호동)
고베규카츠 광안점,음식점,4.85,"4,842",0,부산 수영구 남천바다로 35 2층
간빠맥주,음식점,4.91,2,0,부산 수영구 남천바다로33번길 9 1층 101호
스시하루,음식점,별점 없음,477,0,부산 수영구 광안해변로 133 2층
하나돈까스 남천점,음식점,별점 없음,"4,268",0,부산 수영구 광남로 62
포포스탠드,음식점,별점 없음,95,0,부산 수영구 남천바다로 29 지하1층
