name,category,star_rating,visitor_reviews,blog_reviews,address
주월포차 대연동 본점,음식점,별점 없음,127,0,부산 남구 용소로13번길 9 2층
웨이양,음식점,4.8,"2,620",0,부산 남구 용소로7번길 78
광안야행,음식점,별점 없음,"1,897",0,부산 수영구 남천동로108번길 54 광안야행
진곰탕진해장,음식점,4.89,422,0,부산 수영구 남천동로108번길 7 1층
대영면옥,음식점,별점 없음,212,0,부산 남구 황령대로492번길 24
쉘박스 대연점,음식점,별점 없음,454,0,부산 남구 수영로266번길 73 1층
라화공방 부산대연점,음식점,별점 없음,"1,866",0,부산 남구 용소로19번길 49
그라찌에 부경대학교행복기숙사점,음식점,별점 없음,94,0,부산 남구 용소로 45 행복연합기숙사 1층
마노 경성대점,음식점,4.9,896,0,부산 남구 용소로19번길 25 태양빌딩 2층
대패파,음식점,별점 없음,178,0,부산 남구 용소로14번길 17 1층 대패파
당감댁 경성대&부경대점,음식점,별점 없음,"1,190",0,부산 남구 용소로7번길 64 1층
윌로버케이크,음식점,별점 없음,35,0,"부산 남구 용소로21번길 75-4 1층 101호, 102호"
명랑핫도그 경성대1호점,음식점,별점 없음,766,0,부산 남구 용소로 30 1층 명랑핫도그
퍼니비어 경성대점,음식점,별점 없음,484,0,부산 남구 용소로19번길 20 혜성빌딩 1층
웨이드,음식점,별점 없음,219,0,부산 남구 황령대로492번길 66 지하1층
코코노카,음식점,별점 없음,798,0,부산 남구 수영로334번길 56-1 102호 코코노카
남원,음식점,별점 없음,236,0,부산 남구 용소로8번길 16 2층
버거잇[Burgereat],음식점,별점 없음,"1,052",0,부산 남구 수영로322번길 46 2층
구디,음식점,별점 없음,146,0,부산 남구 수영로298번길 22 1층 102호
카츠안 경성대부경대점,음식점,별점 없음,499,0,부산 남구 수영로334번길 43 하나빌 104호 카츠안
자금성,음식점,별점 없음,11,0,부산 남구 황령대로 488 1층
온정돼지국밥 남구직영점,음식점,4.89,245,0,부산 남구 용소로21번길 47-1 1층
집밥,음식점,별점 없음,375,0,부산 남구 황령대로492번길 32 32
모이커피샵,음식점,별점 없음,206,0,부산 남구 용소로34번길 22-2 1층 모이커피샵
농부꼬마김밥 본점,음식점,별점 없음,231,0,부산 남구 용소로 3 1층
대봉찜닭,음식점,4.82,"5,211",0,부산 남구 수영로334번길 5 1층
부갈집,음식점,4.95,210,0,부산 수영구 광남로 43 1층 부갈집
우홍백 돼지국밥 본점,음식점,4.84,"2,659",0,부산 남구 용소로14번길 26 1층
종가대박집 대연점,음식점,별점 없음,276,0,부산 남구 용소로7번길 33
수라국밥 경성대점,음식점,별점 없음,859,0,부산 남구 용소로8번길 21
삼환축산 대연점,음식점,별점 없음,"1,299",0,부산 남구 용소로7번길 40 1층 삼환축산 경성대부경대점
등촌샤브칼국수 대연점,음식점,별점 없음,309,0,부산 남구 용소로13번길 52 1층
경성고기,음식점,4.84,335,0,부산 남구 용소로8번길 33 1층
용소해장국,음식점,별점 없음,304,0,부산 남구 수영로346번길 17 용소해장국
고기가득통돼지김치찌개,음식점,별점 없음,170,0,부산 남구 수영로346번길 37 고기가득통돼지김치찌개
바당 전복죽,음식점,별점 없음,33,0,부산 남구 황령대로 504 상가동 103호
덩굴아나고,음식점,별점 없음,403,0,부산 수영구 황령대로 483-7 1층
향토집굴국밥,음식점,별점 없음,556,0,부산 남구 용소로64번길 3
골목끝에서울집,음식점,별점 없음,"1,054",0,부산 남구 용소로21번길 21-6
대방집,음식점,별점 없음,27,0,부산 남구 용소로7번길 84 1층 106호
아빠횟집,음식점,4.56,172,0,부산 남구 수영로358번길 24 아빠횟집
술적심,음식점,별점 없음,266,0,부산 남구 용소로19번길 41-1 2층 술적심
구백냥곱창,음식점,별점 없음,9,0,부산 남구 수영로298번길 21
먹음직뼈감자탕 대연점,음식점,별점 없음,82,0,부산 남구 수영로266번길 21 1층
칠복장어 남천점,음식점,별점 없음,"2,811",0,부산 수영구 황령대로489번길 30 2층
윤키친,음식점,별점 없음,0,0,부산 남구 황령대로 504 115동 208호
부산곰탕 대연점,음식점,4.89,"1,219",0,부산 남구 조각공원로 37 1층
느엉98,음식점,별점 없음,0,0,부산 남구 용소로14번길 42
슈바인학센과 미니족발,음식점,별점 없음,2,0,"부산 남구 수영로 294 107-1호(대연동,대연동동일스위트)"
인스타크랩,음식점,4.92,149,0,부산 수영구 황령대로 491 1층 인스타크랩
쭈꾸밍 대연점,음식점,별점 없음,29,0,부산 남구 용소로19번길 4 지하1층
찜하닭,음식점,별점 없음,21,0,부산 남구 수영로266번길 108 1층
왕초장,음식점,별점 없음,358,0,부산 수영구 광안해변로15번길 77 95호 왕초장
남천전집,음식점,별점 없음,55,0,부산 수영구 황령대로489번길 14
4도C냉면 & 우동,음식점,별점 없음,1,0,부산 남구 수영로 274
매킴부산돼지국밥,음식점,별점 없음,1,0,부산 남구 수영로298번길 21 2층 207호
송하돼지국밥,음식점,별점 없음,534,0,부산 수영구 수영로384번길 26
메가혼밥 부산대연점,음식점,별점 없음,0,0,부산 남구 용소로46번길 30 1층 102호
원조 멸치 칼국수,음식점,별점 없음,1,0,부산 남구 용소로14번길 23
뽀글뽀글김치나라,음식점,별점 없음,18,0,부산 남구 용소로13번길 9
청기와식당,음식점,별점 없음,2,0,부산 남구 수영로 312 센츄리빌딩지하 115호
만원족발&만원육회 대연점,음식점,별점 없음,13,0,부산 남구 용소로14번길 9 (대연동)
제대로한끼,음식점,별점 없음,4,0,부산 남구 용소로21번길 41
만복국수,음식점,별점 없음,0,0,주소 없음
THE 김치찌개,음식점,별점 없음,1,0,부산 남구 용소로14번길 42 (대연동)
경수초장집,음식점,별점 없음,93,0,"부산 남구 용소로8번길 17 , 5층"
