name,category,star_rating,visitor_reviews,blog_reviews,address,latitude,longitude,distance_m
미효공방 경성대점,음식점,별점 없음,809,0,부산 남구 용소로19번길 41 1층,35.136638024797,129.102706740724,391.2
오디오디,음식점,4.81,"2,361",0,부산 남구 용소로 34 2층 odod,35.1343793384059,129.100729370467,440.6
타보로,음식점,별점 없음,243,0,부산 남구 용소로 45 1층 동원장보고관,35.1311780304316,129.105045490948,317.0
BBQ치킨 부산경성대점,음식점,별점 없음,166,0,부산 남구 용소로7번길 35 1층,35.1375709134556,129.102088213481,506.9
투썸플레이스 부산대남점,음식점,별점 없음,48,0,부산 남구 황령대로 486 1층,35.1383290276827,129.106955157313,498.2
구르메,음식점,별점 없음,426,0,부산 남구 용소로13번길 61 101동 102호 구르메,35.1376712820673,129.103615545152,444.7
다온스시&덮밥,음식점,별점 없음,"2,706",0,부산 남구 수영로334번길 6 1층,35.138060972178,129.102274585454,541.2
스위시 대연써밋점,음식점,별점 없음,31,0,부산 남구 황령대로 504 115동 1층 120호,35.1358668649776,129.110083623465,461.5
파머스 경성대부경대점,음식점,별점 없음,12,0,부산 남구 수영로322번길 21 지하1층,35.1369496280071,129.101809392142,472.8
아홉달,음식점,별점 없음,"1,129",0,부산 남구 수영로346번길 23 2층 아홉달,35.1380131732498,129.104093322639,465.7
키위,음식점,별점 없음,293,0,부산 남구 수영로346번길 46 1층,35.1370378450499,129.104555400021,349.9
푸드파라다이스,음식점,별점 없음,4,0,부산 남구 용소로34번길 25,35.1341018088966,129.099698652009,532.4
케이찹사라다 경성부경대점,음식점,4.79,107,0,부산 남구 용소로13번길 91 1층,35.1382886635504,129.105042104513,479.3
그레이핍플 부경대점,음식점,별점 없음,4,0,부산 남구 용소로13번길 62 103호 그레이핍플 부경대점,35.1374567519118,129.10375362387,417.9
투썸플레이스 부산경성대역점,음식점,별점 없음,102,0,부산 남구 수영로 295 105호,35.137014971474,129.098362610132,734.8
프랭크버거 부산부경대점,음식점,별점 없음,"1,183",0,부산 남구 수영로 334 1층,35.1381632839411,129.102226095341,553.1
BBQ치킨 부산부경대점,음식점,별점 없음,20,0,부산 남구 수영로366번길 31 2층,35.1385434848039,129.106774848115,517.5
김소남연탄쪽갈비,음식점,별점 없음,309,0,부산 남구 용소로7번길 42 김소남연탄쪽갈비 1F,35.1375159317608,129.102483481885,480.4
제일칼국수 남천점,음식점,4.83,"1,741",0,"부산 수영구 황령대로 491 1층 1-2호, 1-4호",35.1384303703566,129.107749825918,531.8
주월포차 대연동 본점,음식점,별점 없음,127,0,부산 남구 용소로13번길 9 2층,35.1364767492199,129.101120929062,488.1
웨이양,음식점,4.8,"2,620",0,부산 남구 용소로7번길 78,35.1383131263766,129.104157979871,496.2
대영면옥,음식점,별점 없음,212,0,부산 남구 황령대로492번길 24,35.1377750861911,129.106297145869,425.4
쉘박스 대연점,음식점,별점 없음,454,0,부산 남구 수영로266번길 73 1층,35.1337179708825,129.098962270667,600.0
라화공방 부산대연점,음식점,별점 없음,"1,866",0,부산 남구 용소로19번길 49,35.136805717939,129.103179806793,379.4
그라찌에 부경대학교행복기숙사점,음식점,별점 없음,94,0,부산 남구 용소로 45 행복연합기숙사 1층,35.1311780304316,129.105045490948,317.0
마노 경성대점,음식점,4.9,896,0,부산 남구 용소로19번길 25 태양빌딩 2층,35.1362836853778,129.101995653622,411.3
대패파,음식점,별점 없음,178,0,부산 남구 용소로14번길 17 1층 대패파,35.1356448435932,129.099876396809,547.6
당감댁 경성대&부경대점,음식점,별점 없음,"1,190",0,부산 남구 용소로7번길 64 1층,35.1380172350224,129.103558517245,482.2
윌로버케이크,음식점,별점 없음,35,0,"부산 남구 용소로21번길 75-4 1층 101호, 102호",35.1366430730993,129.104196058636,318.9
명랑핫도그 경성대1호점,음식점,별점 없음,766,0,부산 남구 용소로 30 1층 명랑핫도그,35.134588901319,129.10070085894,446.0
퍼니비어 경성대점,음식점,별점 없음,484,0,부산 남구 용소로19번길 20 혜성빌딩 1층,35.1359766570534,129.10188683471,399.3
웨이드,음식점,별점 없음,219,0,부산 남구 황령대로492번길 66 지하1층,35.1365068491405,129.10446921686,295.8
코코노카,음식점,별점 없음,798,0,부산 남구 수영로334번길 56-1 102호 코코노카,35.1360045258297,129.103697271121,279.6
남원,음식점,별점 없음,236,0,부산 남구 용소로8번길 16 2층,35.1363503568988,129.099398235286,617.7
버거잇[Burgereat],음식점,별점 없음,"1,052",0,부산 남구 수영로322번길 46 2층,35.1358698725543,129.102120382303,375.1
구디,음식점,별점 없음,146,0,부산 남구 수영로298번길 22 1층 102호,35.1357446966698,129.099361398821,595.5
카츠안 경성대부경대점,음식점,별점 없음,499,0,부산 남구 수영로334번길 43 하나빌 104호 카츠안,35.13665477994,129.103610228709,344.1
자금성,음식점,별점 없음,11,0,부산 남구 황령대로 488 1층,35.1382018217819,129.107129158029,488.9
온정돼지국밥 남구직영점,음식점,4.89,245,0,부산 남구 용소로21번길 47-1 1층,35.1358283252432,129.103491108615,276.6
모이커피샵,음식점,별점 없음,206,0,부산 남구 용소로34번길 22-2 1층 모이커피샵,35.1342030929242,129.09989135933,515.2
